"[0, 1, 2, 3, 6, 5, 4]",18007,118
"[0, 1, 2, 3, 6, 5, 4]",15764,85
"[0, 1, 2, 3, 6, 5, 4]",18030,96
"[0, 1, 2, 3, 6, 5, 4]",16595,95
"[0, 1, 2, 3, 6, 5, 4]",16186,81
"[0, 1, 2, 3, 6, 5, 4]",17281,109
"[0, 1, 2, 3, 6, 5, 4]",16595,97
"[0, 1, 2, 3, 6, 5, 4]",16096,100
"[0, 1, 2, 3, 6, 5, 4]",16020,80
"[0, 1, 2, 3, 6, 5, 4]",16060,97
"[0, 1, 2, 3, 6, 5, 4]",16375,87
"[0, 1, 2, 3, 6, 5, 4]",15667,93
"[0, 1, 2, 3, 6, 5, 4]",15959,89
"[0, 1, 2, 4, 3, 5, 6]",16301,84
"[0, 1, 2, 4, 3, 5, 6]",15840,82
"[0, 1, 2, 4, 3, 5, 6]",16113,82
"[0, 1, 2, 4, 3, 5, 6]",15365,92
"[0, 1, 2, 4, 3, 5, 6]",15876,84
"[0, 1, 2, 4, 3, 5, 6]",16497,91
"[0, 1, 2, 4, 3, 5, 6]",15941,86
"[0, 1, 2, 4, 3, 5, 6]",15971,89
"[0, 1, 2, 4, 3, 5, 6]",14978,95
"[0, 1, 2, 4, 3, 5, 6]",16020,93
"[0, 1, 2, 4, 3, 5, 6]",15680,98
"[0, 1, 2, 4, 3, 5, 6]",15481,85
"[0, 1, 2, 4, 3, 5, 6]",17720,111
"[0, 1, 2, 4, 3, 5, 6]",15669,106
"[0, 1, 2, 4, 3, 5, 6]",18087,125
"[0, 1, 2, 4, 3, 5, 6]",16547,105
"[0, 1, 2, 4, 3, 5, 6]",15965,80
"[0, 1, 2, 4, 3, 5, 6]",16516,96
"[0, 1, 2, 4, 3, 5, 6]",15511,94
"[0, 1, 2, 4, 3, 5, 6]",15447,87
"[0, 1, 2, 4, 3, 5, 6]",15576,89
"[0, 1, 2, 4, 3, 5, 6]",15448,85
"[0, 1, 2, 4, 3, 5, 6]",15879,95
"[0, 1, 2, 4, 3, 5, 6]",15853,98
"[0, 1, 2, 4, 3, 5, 6]",15663,95
"[0, 1, 2, 4, 3, 6, 5]",16694,101
"[0, 1, 2, 4, 3, 6, 5]",15971,90
"[0, 1, 2, 4, 3, 6, 5]",16396,94
