map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,9069,394,34.5
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,8946,441,35.7
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,8713,415,39.5
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,8526,393,39.5
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,8709,448,41.3
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,9191,418,41.4
warehouse-20-40-10-2-2.map,55760,17004,50,DCMAPF,True,9264,431,42.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110258,443,1804.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110876,447,1827.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111260,447,1830.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111913,456,1841.2
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111908,479,1884.1
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,113300,440,1759.3
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,114179,458,1799.7
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,112283,459,1809.5
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110408,474,1824.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,112213,480,1834.2
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,112282,452,1763.6
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,109151,466,1796.7
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110233,469,1812.9
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,112469,469,1815.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111591,466,1817.4
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110639,434,12192.1
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,107952,449,12210.5
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110899,464,12260.2
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,113051,479,12279.6
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,112205,486,12301.8
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111572,440,1786.6
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,110553,462,1858.6
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111587,473,1870.7
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111783,474,1887.5
warehouse-20-40-10-2-2.map,55760,17004,600,DCMAPF,True,111250,494,1906.3
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,129861,448,2329.3
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130906,447,2333.1
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,128551,449,2336.1
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131339,456,2363.7
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130925,479,2403.9
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131659,459,2564.9
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,133332,462,2568.8
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,132699,461,2573.1
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,129897,480,2623.3
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,132159,487,2653.1
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,130612,452,2813.9
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,128927,467,2843.9
warehouse-20-40-10-2-2.map,55760,17004,700,DCMAPF,True,131458,472,2870.8
